noc_code,noc_desc
1210,Administrative and regulatory occupations
13,Administrative occupations and transportation logistics occupations
131,Administrative occupations
1310,"Administrative, property and payroll officers"
13100,Administrative officers
14101,Receptionists
142,"Financial, insurance and related administrative support workers"
1420,"Financial, insurance and related administrative support workers"
14200,Accounting and related clerks
144,"Supply chain logistics, tracking and scheduling coordination occupations"
1440,"Supply chain logistics, tracking and scheduling coordination occupations"
212,Professional occupations in applied sciences (except engineering)
2123,"Computer, software and Web designers and developers"
213,Professional occupations in engineering
22,Technical occupations related to natural and applied sciences
222,Technical occupations related to applied sciences (except engineering)
223,Technical occupations related to engineering
41,"Professional occupations in law, education, social, community and government services"
412,Professional occupations in education services
413,Professional occupations in social and community services
4130,Social and community service professionals
414,Professional occupations in government services
4140,"Policy and program researchers, consultants and officers"
42,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services"
422,"Paraprofessional occupations in legal, social, community and education services"
4220,"Paraprofessional occupations in legal, social, community and education services"
5,"Occupations in art, culture, recreation and sport"
51,Professional occupations in art and culture
511,Professional occupations in art and culture
60,Middle management occupations in retail and wholesale trade and customer services
600,Middle management occupations in retail and wholesale trade and customer services
6002,Retail and wholesale trade managers
60020,Retail and wholesale trade managers
62,Retail sales and service supervisors and specialized occupations in sales and services
70,Middle management occupations in trades and transportation
700,Middle management occupations in trades and transportation
7001,Managers in construction and facility operation and maintenance
70012,Facility operation and maintenance managers
72020,"Contractors and supervisors, mechanic trades"
7240,Machinery and transportation equipment mechanics (except motor vehicles)
752,"Transport drivers, operators and labourers"
7520,"Taxi, personal service and delivery service drivers"
75201,Delivery service drivers and door-to-door distributors
85,"Harvesting, landscaping and natural resources labourers"
851,"Harvesting, landscaping and natural resources labourers"
8510,"Agriculture, horticulture and harvesting labourers and related occupations"
8512,"Logging, forestry, landscaping and other related labourers"
85121,Landscaping and grounds maintenance labourers
9,Occupations in manufacturing and utilities
90,Middle management occupations in manufacturing and utilities
900,Middle management occupations in manufacturing and utilities
9001,Managers in manufacturing and utilities
90010,Manufacturing managers
92,"Processing, manufacturing and utilities supervisors and utilities operators and controllers"
2122,Computer and information systems professionals
33,Assisting occupations in support of health services
331,Assisting occupations in support of health services
3310,Assisting occupations in support of health services
4,"Occupations in education, law and social, community and government services"
52,"Technical occupations in art, culture and sport"
521,Technical occupations in art and culture
721,Technical industrial trades
7210,"Machining, metal forming, shaping and erecting trades"
73300,Transport truck drivers
10022,"Advertising, marketing and public relations managers"
12112,Records management technicians
12200,Accounting technicians and bookkeepers
12201,Insurance adjusters and claims examiners
211,Professional occupations in natural sciences
2111,Life science professionals
21231,Software engineers and designers
21232,Software developers and programmers
21311,Computer engineers (except software engineers and designers)
2132,Manufacturing and processing engineers
21321,Industrial and manufacturing engineers
221,Technical occupations related to natural sciences
2221,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology"
2222,Technical occupations in computer and information systems
22221,User support technicians
22311,Electronic service technicians (household and business equipment)
40,"Managers in public administration, in education and social and community services and in public protection services"
400,"Managers in public administration, in education and social and community services and in public protection services"
4120,University professors and post-secondary assistants
41200,University professors and lecturers
4122,"Secondary, elementary and kindergarten school teachers"
4132,Educational and employment counsellors
41320,Educational counsellors
42203,Instructors of persons with disabilities
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts"
5212,Graphic and interior designers
53123,"Theatre, fashion, exhibit and other creative designers"
6001,Corporate sales managers
60010,Corporate sales managers
631,Occupations in sales
6310,"Insurance, real estate and financial sales occupations"
63101,Real estate agents and salespersons
65311,Specialized cleaners
65312,"Janitors, caretakers and heavy-duty cleaners"
72100,Machinists and machining and tooling inspectors
72106,Welders and related machine operators
73201,General building maintenance workers and building superintendents
734,"Operators, drillers and blasters"
7340,"Operators, drillers and blasters"
82,"Supervisors in natural resources, agriculture and related production"
820,"Supervisors in natural resources, agriculture and related production"
84,"Workers in natural resources, agriculture and related production"
841,Workers in natural resources and fisheries
8412,Workers in agriculture and fishing occupations
85100,Livestock labourers
92013,"Supervisors, plastic and rubber products manufacturing"
1003,Managers in communication (except broadcasting)
10030,Telecommunication carriers managers
13102,Payroll administrators
20010,Engineering managers
21203,Land surveyors
2139,Other engineers
21399,Other professional engineers
22301,Mechanical engineering technologists and technicians
30,Specialized middle management occupations in health care
300,Specialized middle management occupations in health care
3001,Managers in health care
30010,Managers in health care
31100,Specialists in clinical and laboratory medicine
42101,Firefighters
52120,Graphic designers and illustrators
532,Occupations in sports
5320,"Athletes, coaches, referees and related occupations"
65320,"Dry cleaning, laundry and related occupations"
70010,Construction managers
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
82020,"Supervisors, mining and quarrying"
9415,Printing equipment operators and related occupations
7231,Carpenters and cabinetmakers
X,Unclassified occupations
00010,Legislators
11103,"Securities agents, investment dealers and brokers"
12012,"Supervisors, library, correspondence and related information workers"
12104,Employment insurance and revenue officers
12110,"Court reporters, medical transcriptionists and related occupations"
13101,Property administrators
14112,Desktop publishing operators and related occupations
21100,Physicists and astronomers
21112,"Agricultural representatives, consultants and specialists"
21221,Business systems specialists
21223,Database analysts and data administrators
21332,Petroleum engineers
22113,Conservation and fishery officers
3110,Physicians and veterinarians
31101,Specialists in surgery
31102,General practitioners and family physicians
31103,Veterinarians
31110,Dentists
32100,Opticians
32201,Massage therapists
40012,Government managers - education policy development and program administration
40040,Commissioned police officers and related occupations in public protection services
41400,"Natural and applied science policy researchers, consultants and program officers"
41406,"Recreation, sports and fitness policy researchers, consultants and program officers"
41409,Other professional occupations in social science
42204,Religion workers
50010,"Library, archive, museum and art gallery managers"
51101,Conservators and curators
51122,Musicians and singers
52112,Broadcast technicians
5311,Photographers and support occupations in arts and culture
53110,Photographers
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators"
53202,Sports officials and referees
64322,Outdoor sport and recreational guides
70011,Home building and renovation managers
72023,"Supervisors, railway transport operations"
72202,Power system electricians
72204,Telecommunications line and cable installers and repairers
72302,Gas fitters
72320,Bricklayers
72321,Insulators
73101,Tilesetters
73113,Floor covering installers
74100,Mail and parcel sorters and related occupations
74102,Couriers and messengers
75100,Longshore workers
75200,Taxi and limousine drivers and chauffeurs
80022,Managers in aquaculture
82021,"Contractors and supervisors, oil and gas drilling and services"
8311,Logging machinery operators
83110,Logging machinery operators
84110,Chain saw and skidder operators
84111,Silviculture and forestry workers
85120,Logging and forestry labourers
92014,"Supervisors, forest products processing"
92022,"Supervisors, furniture and fixtures manufacturing"
92024,"Supervisors, other products manufacturing and assembly"
94102,Glass forming and finishing machine operators and glass cutters
94104,"Inspectors and testers, mineral and metal processing"
94106,Machining tool operators
94120,Sawmill machine operators
94123,Lumber graders and other wood processing inspectors and graders
94129,Other wood processing machine operators
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
94205,"Machine operators and inspectors, electrical apparatus manufacturing"
21201,Landscape architects
40042,Commissioned officers of the Canadian Armed Forces
4131,Police investigators and probation officers
41311,Probation and parole officers
41407,Program officers unique to government
43203,"Border services, customs, and immigration officers"
44100,Home child care providers
64311,Pursers and flight attendants
70021,Postal and courier services managers
72025,"Supervisors, mail and message distribution occupations"
72602,"Deck officers, water transport"
7331,Train crew operating occupations
73310,Railway and yard locomotive engineers
73402,"Drillers and blasters - surface mining, quarrying and construction"
85102,Aquaculture and marine harvest labourers
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
932,Aircraft assemblers and aircraft assembly inspectors
9320,Aircraft assemblers and aircraft assembly inspectors
93200,Aircraft assemblers and aircraft assembly inspectors
94151,"Camera, platemaking and other prepress occupations"
94153,Photographic and film processors
72405,Machine fitters
72022,"Supervisors, printing and related occupations"
72420,Oil and solid fuel heating mechanics
74201,Water transport deck and engine room crew
80021,Managers in horticulture
21103,Meteorologists and climatologists
22111,Agricultural and fish products inspectors
74200,Railway yard and track maintenance workers
31201,Chiropractors
74101,Letter carriers
51121,"Conductors, composers and arrangers"
72403,Railway carmen/women
21211,Data scientists
53125,"Patternmakers - textile, leather and fur products"
72406,Elevator constructors and mechanics
43201,Correctional service officers
64201,"Image, social and other personal consultants"
73311,Railway conductors and brakemen/women
53121,"Actors, comedians and circus performers"
72103,Boilermakers
72501,Water well drillers
8312,Fishing vessel masters and fishermen/women
62202,"Jewellers, jewellery and watch repairers and related occupations"
31111,Optometrists
32200,Traditional Chinese medicine practitioners and acupuncturists
43200,Sheriffs and bailiffs
72604,Railway traffic controllers and marine traffic regulators
84121,Fishing vessel deckhands
41310,Police investigators and other investigative occupations
